T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,0.005,0.0464,4.2277,4.579013266506588,0.35131326650658856
25,NaCl,1,0.5,0.005,0.055,2.0211,2.732821752599577,0.7117217525995767
25,NaCl,1,0.5,0.005,0.0774,0.61604,1.0255781649597786,0.4095381649597786
25,NaCl,1,0.5,0.005,0.182,0.73417,0.9960903013764022,0.2619203013764022
25,NaCl,1,0.5,0.005,0.215,0.99118,1.063239957078323,0.07205995707832313
25,NaCl,1,0.5,0.005,0.256,1.1613,1.1333733563847177,0.0279266436152823
25,NaCl,1,0.5,0.005,0.303,1.1643,1.2656859638728808,0.1013859638728809
25,NaCl,1,0.5,0.005,0.359,1.8131,1.5328728990155898,0.28022710098441017
25,NaCl,1,0.5,0.005,0.426,1.4251,1.3356584180640514,0.08944158193594864
25,NaCl,1,0.5,0.005,0.505,0.73197,0.8446993028642272,0.11272930286422722
25,NaCl,1,0.5,0.005,0.599,0.57546,0.8071911395442437,0.23173113954424374
25,NaCl,1,0.5,0.005,0.711,0.97816,1.0703403232032451,0.0921803232032451
25,NaCl,1,0.5,0.005,0.843,0.96558,1.0286442703220886,0.06306427032208861
25,NaCl,1,0.5,0.005,1.0,1.1627,1.1554520302288374,0.00724796977116271
25,NaCl,1,0.5,0.005,1.19,0.85285,0.9522875589976822,0.09943755899768225
25,NaCl,1,0.5,0.005,1.41,0.79958,0.9241201752890834,0.12454017528908345
25,NaCl,1,0.5,0.005,1.67,0.96246,1.0472300329004596,0.08477003290045959
25,NaCl,1,0.5,0.005,1.98,0.98609,1.0532242580912963,0.06713425809129625
25,NaCl,1,0.5,0.005,2.35,0.86872,0.9379927980663548,0.06927279806635478
25,NaCl,1,0.5,0.005,2.78,1.0122,0.9946238107895781,0.017576189210421922
25,NaCl,1,0.5,0.005,3.3,0.84546,0.935070879635359,0.08961087963535896
25,NaCl,1,0.5,0.005,3.91,0.98196,0.9973671331765386,0.015407133176538523
25,NaCl,1,0.5,0.005,4.64,0.87994,0.9479093795978358,0.06796937959783578
25,NaCl,1,0.5,0.005,5.5,0.95412,0.9582763550761708,0.004156355076170848
25,NaCl,1,0.5,0.005,6.53,0.95768,0.9816907550814904,0.02401075508149042
25,NaCl,1,0.5,0.005,7.74,0.91912,0.973850684231986,0.054730684231985904
25,NaCl,1,0.5,0.005,9.18,0.91042,0.9391885757186236,0.028768575718623568
25,NaCl,1,0.5,0.005,10.9,0.92365,0.9498140307646388,0.0261640307646388
25,NaCl,1,0.5,0.005,12.9,0.93371,0.9810603302252231,0.04735033022522306
25,NaCl,1,0.5,0.005,15.3,0.95437,0.9824609680857523,0.028090968085752288
25,NaCl,1,0.5,0.005,18.2,0.97146,0.9938053613015243,0.022345361301524314
