T,Salt,Cs,fs,Cp,Gamma,Eta_true,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
25,NaCl,1,0.5,0.03,1.0,0.85602,0.9379086304271957,0.9684834237053233,0.9006281954091633,0.8517216,14.782711881801902
25,NaCl,1,0.5,0.03,1.29,1.0965,0.9379086304271957,1.156671146836207,1.2415829954127062,1.1836423,14.768294272208994
25,NaCl,1,0.5,0.03,1.67,1.2704,1.169023701931614,1.206558924701499,1.2954711411770066,1.2359263,14.749423514471857
25,NaCl,1,0.5,0.03,2.15,1.1676,1.169023701931614,1.0797821665140384,1.2853351970978322,1.222464,14.725621229989027
25,NaCl,1,0.5,0.03,2.78,1.1278,1.169023701931614,1.1304971366240055,1.2290169210170365,1.2224406,14.694439014385821
25,NaCl,1,0.5,0.03,3.59,1.0644,1.0794681079913544,1.0607599902612348,1.177580496358441,1.2733189,14.654444598204273
25,NaCl,1,0.5,0.03,4.64,1.1219,1.0794681079913544,1.099317598528503,1.1932302851667151,1.2252618,14.60276195333926
25,NaCl,1,0.5,0.03,5.99,1.0442,1.0794681079913544,1.0864205937839673,1.1414309494000257,1.142238,14.536580576828076
25,NaCl,1,0.5,0.03,7.74,1.09,1.0794681079913544,1.0822114948254828,1.1475723849891917,1.1513226,14.451236118608177
25,NaCl,1,0.5,0.03,10.0,1.0784,1.0794681079913544,1.0840140740890338,1.1326007416920139,1.1319358,14.341760793760457
25,NaCl,1,0.5,0.03,12.9,1.0769,1.0813209426514339,1.0815760638394993,1.1287606758354984,1.0835134,14.20249760290703
25,NaCl,1,0.5,0.03,16.7,1.0875,1.0813209426514339,1.0822744920880256,1.1170867481723497,1.0904272,14.022059669706712
25,NaCl,1,0.5,0.03,21.5,1.0707,1.0813209426514339,1.083251886555407,1.1388488391281457,1.083352,13.797411085337432
25,NaCl,1,0.5,0.03,27.8,1.0903,1.0813209426514339,1.0865984544270562,1.125513512028767,1.1380662,13.508012614049468
25,NaCl,1,0.5,0.03,35.9,1.0897,1.111857239216992,1.0886981262286195,1.1206376408193763,1.1284883,13.144830291178458
25,NaCl,1,0.5,0.03,46.4,1.1134,1.111857239216992,1.1082080805152783,1.1287784008517152,1.142825,12.688532778226309
25,NaCl,1,0.5,0.03,59.9,1.1095,1.111857239216992,1.1162522414135287,1.1282732250507919,1.1478981,12.12506147340569
25,NaCl,1,0.5,0.03,77.4,1.1353,1.111857239216992,1.1457686940663026,1.1192407759199088,1.1348566,11.431713190831283
25,NaCl,1,0.5,0.03,100.0,1.1587,1.3220908241332165,1.1765454066053516,1.1204138313508276,1.1439642,10.59463735951826
25,NaCl,1,0.5,0.02,1.0,1375.0867,823.0865865112455,1099.552331203449,1194.0104732727534,1273.0417,14.771131336363554
25,NaCl,1,0.5,0.02,1.29,1120.16155,823.0865865112455,944.4556129769096,1083.6830278527555,1055.2289,14.756725021300658
25,NaCl,1,0.5,0.02,1.67,912.57682,823.0865865112455,904.6486265830551,897.0721600782936,852.2159,14.737869046620187
25,NaCl,1,0.5,0.02,2.15,743.5690999999999,823.0865865112455,803.8773792797433,698.6889094170655,689.49255,14.71408540847499
